"SYMBOL","NAME OF COMPANY","SERIES","DATE OF LISTING","PAID UP VALUE","MARKET LOT","ISIN NUMBER","FACE VALUE","marketcap","price"
"MANGLMCEM","Mangalam Cement Limited","EQ","03-JAN-1996","10","1","INE347A01017","10","638.02","239.05"
"MANGTIMBER","Mangalam Timber Products Limited","BE","27-JUL-1995","10","1","INE805B01012","10","17.96","9.80"
"MANINDS","Man Industries (India) Limited","EQ","24-JUN-2005","5","1","INE993A01026","5","250.67","43.90"
"MANINFRA","Man Infraconstruction Limited","EQ","11-MAR-2010","2","1","INE949H01023","2","559.35","22.60"
"MANUGRAPH","Manugraph India Limited","EQ","14-SEP-2006","2","1","INE867A01022","2","29.64","9.75"
"MARALOVER","Maral Overseas Limited","EQ","08-FEB-1995","10","1","INE882A01013","10","52.51","12.65"
"MARATHON","Marathon Nextgen Realty Limited","EQ","29-SEP-2016","5","1","INE182D01020","5","329.59","71.65"
"MARICO","Marico Limited","EQ","01-MAY-1996","1","1","INE196A01026","1","34,825","269.75"
"MARKSANS","Marksans Pharma Limited","EQ","21-JAN-2002","1","1","INE750C01026","1","593.50","14.50"
"MARUTI","Maruti Suzuki India Limited","EQ","09-JUL-2003","5","1","INE585B01010","5","185,667","6,146"
"MASFIN","MAS Financial Services Limited","EQ","18-OCT-2017","10","1","INE348L01012","10","5,790","1,059"
"MASKINVEST","Mask Investments Limited","BE","14-OCT-2016","10","1","INE885F01015","10","5.03","16.50"
"MASTEK","Mastek Limited","EQ","10-MAY-1995","5","1","INE759A01021","5","901.32","371.60"
"MATRIMONY","Matrimony.Com Limited","EQ","21-SEP-2017","5","1","INE866R01028","5","927.67","408.05"
"MAWANASUG","Mawana Sugars Limited","EQ","20-MAR-2009","10","1","INE636A01039","10","115.99","29.65"
"MAXINDIA","Max India Limited","EQ","14-JUL-2016","2","1","INE153U01017","2","2,279","84.75"
"MAXVIL","Max Ventures and Industries Limited","EQ","22-JUN-2016","10","1","INE154U01015","10","586.50","40.00"
"MAYURUNIQ","Mayur Uniquoters Ltd","EQ","25-SEP-2012","5","1","INE040D01038","5","990.41","218.50"
"MAZDA","Mazda Limited","EQ","01-NOV-2016","10","1","INE885E01034","10","160.04","375.85"
"MBAPL","Madhya Bharat Agro Products Limited","BE","22-AUG-2019","10","1","INE900L01010","10","151.05","68.95"
"MBECL","Mcnally Bharat Engineering Company Limited","BE","06-OCT-2006","10","1","INE748A01016","10","51.83","2.45"
